Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other,BTC Returns,ETH Returns,XRP Returns
2018-05-11,0.05,0.85,0.21,-0.53,-0.33,-0.28,0.14,0.09,0.43,0.97,-0.08,0.34,-10.06041510585813,-11.0788964271799,-11.11913426610246
2018-05-14,-0.48,-0.06,-0.11,0.51,0.25,-0.37,-0.3,-0.55,0.2,1.36,-0.63,-0.14,0.37547153880626,-0.48625153807266,-0.66005653381494
2018-05-15,0.34,-0.02,-0.15,0.29,-0.24,-0.34,-0.02,-0.72,0.23,0.06,0.44,-0.42,0.45163099033997,-1.57662966940089,-1.14862646350094
2018-05-16,0.97,1.29,1.1,0.67,0.61,0.49,0.94,-0.45,1.17,0.78,0.45,0.66,-5.054594090041889,-8.1252759265451,-7.45785318817309
2018-05-17,0.46,0.71,0.99,3.16,1.04,0.48,0.09,-0.36,0.51,0.53,0.98,0.71,3.87526158320983,-2.5570815783310703,3.27989259023637
2018-05-18,-0.28,0.5,0.23,-0.5,0.09,0.16,-0.04,0.04,-0.28,0.46,-0.15,0.41,4.94876647182156,3.3569541026134,13.70767406738273
2018-05-21,0.25,0.52,0.8,1.68,3.9,0.23,0.2,0.54,0.55,-1.04,0.74,0.85,3.2769179973355302,0.08064552378423,-5.24269907157975
2018-05-22,-0.58,-0.09,-0.76,-2.05,-0.95,-0.55,-0.73,0.15,-1.0,-0.17,0.03,-1.09,0.17737814072429,0.81787713658654,-2.27441474658401
2018-05-23,0.37,-0.19,-0.11,-0.83,0.0,0.39,-0.66,0.84,0.22,0.4,-0.14,0.19,-2.2488995834565,-3.9217933947793404,-4.45763962470068
2018-05-24,0.66,-0.31,-0.03,-1.17,-0.87,-0.19,-0.97,0.53,0.74,-0.08,-0.25,0.52,1.73169404672413,-0.0153803040279,-2.95272534841768
2018-05-25,0.31,-0.07,-0.25,-3.2,-0.41,0.27,-0.88,0.34,0.04,0.34,0.13,0.01,-2.38185865170761,-2.44246259353172,-0.29681199562325
